,algorithm,step,winrate,drawrate,loserate
0,CrossQ + L2 + Target,1759,0.13,0.45000000000000007,0.42
1,CrossQ + L2 + Target,1780,0.14,0.47,0.41
2,CrossQ + L2 + Target,1788,0.14,0.47,0.42
3,CrossQ + L2 + Target,1844,0.12000000000000001,0.46,0.42
4,CrossQ + L2 + Target,1844,0.12000000000000001,0.46,0.44
5,CrossQ + L2 + Target,1844,0.12000000000000001,0.45,0.42
6,CrossQ + L2 + Target,1844,0.12000000000000001,0.45,0.44
7,CrossQ + L2 + Target,1844,0.12000000000000001,0.46,0.42
8,CrossQ + L2 + Target,1844,0.12000000000000001,0.46,0.44
9,CrossQ + L2 + Target,1844,0.12000000000000001,0.45,0.42
10,CrossQ + L2 + Target,1844,0.12000000000000001,0.45,0.44
11,CrossQ + L2 + Target,1899,0.12000000000000001,0.45,0.43
12,CrossQ + L2 + Target,1904,0.13,0.44,0.43
13,CrossQ + L2 + Target,1914,0.12,0.43,0.42000000000000004
14,CrossQ + L2 + Target,1915,0.13,0.43,0.44
15,CrossQ + L2 + Target,1941,0.12000000000000001,0.42000000000000004,0.43000000000000005
16,CrossQ + L2 + Target,1942,0.12000000000000001,0.42000000000000004,0.44000000000000006
17,CrossQ + L2 + Target,1950,0.12000000000000001,0.41000000000000003,0.44000000000000006
18,CrossQ + L2 + Target,1956,0.11000000000000001,0.42000000000000004,0.45
19,CrossQ + L2 + Target,1965,0.12000000000000001,0.42000000000000004,0.44
20,CrossQ + L2 + Target,1971,0.12000000000000001,0.43000000000000005,0.45
21,CrossQ + L2 + Target,1987,0.11,0.42000000000000004,0.44999999999999996
22,CrossQ + L2 + Target,2002,0.12,0.43000000000000005,0.47
23,CrossQ + L2 + Target,2004,0.12000000000000001,0.41999999999999993,0.46
24,CrossQ + L2 + Target,2010,0.11000000000000001,0.42999999999999994,0.45
25,CrossQ + L2 + Target,2064,0.11000000000000001,0.43000000000000005,0.48
26,CrossQ + L2 + Target,2095,0.1,0.43,0.44999999999999996
27,CrossQ + L2 + Target,2144,0.1,0.43,0.45999999999999996
28,CrossQ + L2 + Target,2155,0.1,0.43,0.44999999999999996
29,CrossQ + L2 + Target,2169,0.11000000000000001,0.43,0.45999999999999996
30,CrossQ + L2 + Target,2193,0.11000000000000001,0.43000000000000005,0.45999999999999996
31,CrossQ + L2 + Target,2222,0.11000000000000001,0.42000000000000004,0.47
32,CrossQ + L2 + Target,2238,0.11,0.43,0.45999999999999996
33,CrossQ + L2 + Target,2253,0.11000000000000001,0.44,0.43999999999999995
34,CrossQ + L2 + Target,2255,0.1,0.44000000000000006,0.44
35,CrossQ + L2 + Target,2257,0.1,0.45000000000000007,0.44999999999999996
36,CrossQ + L2 + Target,2260,0.11000000000000001,0.45000000000000007,0.43999999999999995
37,CrossQ + L2 + Target,2261,0.12,0.45000000000000007,0.43999999999999995
38,CrossQ + L2 + Target,2331,0.12,0.45000000000000007,0.43999999999999995
39,CrossQ + L2 + Target,2346,0.11,0.47,0.42
40,CrossQ + L2 + Target,2356,0.1,0.46,0.42
41,CrossQ + L2 + Target,2358,0.11000000000000001,0.45,0.43
42,CrossQ + L2 + Target,2387,0.1,0.45,0.43999999999999995
43,CrossQ + L2 + Target,2410,0.12000000000000002,0.44000000000000006,0.43999999999999995
44,CrossQ + L2 + Target,2420,0.12000000000000002,0.4600000000000001,0.43
45,CrossQ + L2 + Target,2504,0.11000000000000001,0.45999999999999996,0.41000000000000003
46,CrossQ + L2 + Target,2506,0.11,0.49,0.4
47,CrossQ + L2 + Target,2508,0.11000000000000001,0.48000000000000004,0.42000000000000004
48,CrossQ + L2 + Target,2511,0.11000000000000001,0.48000000000000004,0.41000000000000003
49,CrossQ + L2 + Target,2512,0.1,0.48000000000000004,0.42000000000000004
50,CrossQ + L2 + Target,2538,0.1,0.48000000000000004,0.42000000000000004
51,CrossQ + L2 + Target,2548,0.1,0.47000000000000003,0.42000000000000004
52,CrossQ + L2 + Target,2551,0.11000000000000001,0.46,0.42000000000000004
53,CrossQ + L2 + Target,2553,0.12,0.47000000000000003,0.42000000000000004
54,CrossQ + L2 + Target,2574,0.12,0.46,0.41000000000000003
55,CrossQ + L2 + Target,2581,0.1,0.48,0.42000000000000004
56,CrossQ + L2 + Target,2582,0.1,0.49,0.41000000000000003
57,CrossQ + L2 + Target,2607,0.08000000000000002,0.48,0.41000000000000003
58,CrossQ + L2 + Target,2610,0.09000000000000001,0.48999999999999994,0.41000000000000003
59,CrossQ + L2 + Target,2638,0.1,0.49999999999999994,0.4
60,CrossQ + L2 + Target,2650,0.09,0.5,0.39
61,CrossQ + L2 + Target,2710,0.11000000000000001,0.5,0.39
62,CrossQ + L2 + Target,2755,0.11000000000000001,0.49,0.4
63,CrossQ + L2 + Target,2772,0.12,0.48,0.4
64,CrossQ + L2 + Target,2789,0.12,0.5,0.4
65,CrossQ + L2 + Target,2800,0.12,0.48,0.4
66,CrossQ + L2 + Target,2802,0.1,0.48,0.4
67,CrossQ + L2 + Target,2804,0.11000000000000001,0.49999999999999994,0.39
68,CrossQ + L2 + Target,2816,0.12000000000000001,0.5,0.38
69,CrossQ + L2 + Target,2825,0.11,0.51,0.37
70,CrossQ + L2 + Target,2832,0.12,0.51,0.39
71,CrossQ + L2 + Target,2840,0.11000000000000001,0.49,0.39
72,CrossQ + L2 + Target,2885,0.11000000000000001,0.49,0.39
73,CrossQ + L2 + Target,2889,0.1,0.51,0.39
74,CrossQ + L2 + Target,2901,0.11,0.52,0.38
75,CrossQ + L2 + Target,2935,0.12000000000000001,0.51,0.4
76,CrossQ + L2 + Target,2961,0.11,0.5,0.39
77,CrossQ + L2 + Target,2968,0.12000000000000001,0.5,0.38
78,CrossQ + L2 + Target,2998,0.12000000000000001,0.48000000000000004,0.4
79,CrossQ + L2 + Target,3023,0.11000000000000001,0.49,0.4
80,CrossQ + L2 + Target,3051,0.10000000000000002,0.5,0.41
81,CrossQ + L2 + Target,3060,0.1,0.51,0.38999999999999996
82,CrossQ + L2 + Target,3066,0.1,0.49,0.39
83,CrossQ + L2 + Target,3083,0.09,0.49999999999999994,0.38
